site,checked,proj_good,proj_notes,site_name,Bucket ,n_tiles_512,region,date,year,confidence,img_quality,delin_method,sensor,resolution_cm,tide_m,notes,label_qc_notes,seb_notes,include_cv,train_difficulty,
louscoone_u0497,,Yes,,Louscoone,,704,North,2018-07-16,2018,High,Excellent,OBIA,DJI Phantom Pro 4,4.1000000000000000,0.4,na,great imagery and classification,NA,Yes,Low,
louscoone_west_u0498,Yes,Yes,,Louscoone West,,1277,North,2018-07-16,2018,High,Excellent,OBIA,DJI Phantom Pro 4,4,0.4,na,great imagery and classification,NA,Yes,Low,
mcmullin_north_u0900,Yes,Yes,,McMullin North,,1518,Central,2021-07-14,2021,High,Good,OBIA,DJI Phantom Pro 4,2.3,0.7,"High confidence in classification - very good image quality (calm, no glint, low tide, water clarity good enough to capture subtidal edge). Addtional towed video helped establish confident subtidal edge delineation.",NA,Clear,Yes,Low,
mcmullin_north_u1270,Yes,Yes,,McMullin North,,1368,Central,2024-07-05,2024,High,Excellent,OBIA,Mavic 3E,2.5,0.5,"Very high confidence in classification. Perfect imagery - calm seas, full sun, good water clarity.",NA,Clear,Yes,Low,
nettle_u0212,Yes,No,Proj - also file?,Nettle,,366,South,2017-07-10,2017,High,Good,OBIA,DJI Phantom Pro 3,4.2,0.6,na,good clear bed edige somewhat submerged,Clear subtidal,Yes,Low,
powrivco_u0480,Yes,No,Proj,Powrivco,,1051,North,2018-07-11,2018,High,Good,OBIA,DJI Phantom Pro 4,3.2,0.6,na,good imagery and classification,NA,Yes,Low,
pruth_bay_u0383,Yes,Yes,,Pruth Bay,,1182,Central,2018-05-18,2018,High,Medium,Manual and OBIA,DJI Phantom Pro 4,2.3,0.2,The eelgrass did not change much between this image 383 and 203.,eelgrass in this site is lower percent cover,Low density,Yes,Medium,
pruth_bay_u0530,Yes,Yes,,Pruth Bay,,3613,Central,2018-08-12,2018,High,Excellent,Manual and OBIA,DJI Phantom Pro 4,2,1,"Deep end is pretty nice, can use to infer other years",very good,Clear subtidal,Yes,Low,
pruth_bay_u0699,Yes,Yes,,Pruth Bay,,769,Central,2019-07-30,2019,High,Excellent,Manual and OBIA,DJI Phantom Pro 4,3.2,1,"really nice image, the eelgrass is green and vivacious, and the deep edge is pretty clear.",very good,Clear subtidal,Yes,Low,
pruth_bay_u0785,Yes,Yes,,Pruth Bay,,222,Central,2020-07-20,2020,High,Medium,Manual and OBIA,DJI Phantom Pro 4,5.2,0.6,"Very nice deep edge, the image is a little fuzzy, but the multispectral makes it easy to find the eelgrass",overall good - clouds over subtidal edge,NA,Yes,NA,
pruth_bay_u0911,Yes,Yes,,Pruth Bay,,1236,Central,2021-07-22,2021,High,Good,Manual and OBIA,DJI Phantom Pro 4,2.4,0.4,"High confidence in classification - very good image quality (calm, no glint, low tide, water clarity good enough to capture subtidal edge). Addtional towed video helped establish confident subtidal edge delineation.",overall good - though subtidal edge not as clear as other scenes,"Clearish subtidal, great conditions",Yes,Medium,
pruth_bay_u1035,Yes,Yes,,Pruth Bay,,1768,Central,2022-07-28,2022,High,Good,OBIA,RPAS-RGB,2.1,0.8,"Overall image quality is very high, calm sea state, very low tide and low turbidity allowing the subtidal edge to be visible. Eelgrass bed is dense and homogenous.
",very good - shadows in part of imagery,"Shadows, clear subtidal",Yes,Medium,
pruth_bay_u1158,Yes,Yes,,Pruth Bay,,1298,Central,2023-07-31,2023,High,Excellent,OBIA,DJI Phantom Pro 4,2.5,0.4,"Overall image quality is high, no wave action, calm sea state. Classification confidence is high. Subtidal edge was visible and confirmed with towed underwater video.
",NA,Clear,Yes,Low,
pruth_bay_u1305,Yes,Yes,,Pruth Bay,,1142,Central,2024-07-22,2024,High,Good,OBIA,Mavic 3E,2.7,0.25,"Overall imagery quality is medium-high, some cloud reflections over the subtidal obscuring view but ground truthing with towed video was possible.  Classification confidence is high.",NA,"Cloud reflections, towed video",Yes,Medium,
ramsay_u0483,Yes,Yes,,Ramsay,,1413,North,2018-07-12,2018,High,Good,OBIA,DJI Phantom Pro 4,2.9000000000000000,0.2,na,good imagery and classification,NA,Yes,Low,
section_cove_u0249,Yes,Yes,,Section Cove,,561,North,2017-07-21,2017,High,Excellent,OBIA,DJI Phantom Pro 3,4.4000000000000000,0.8,na,good imagery and delineation,NA,Yes,Low,
section_cove_u0487,Yes,Yes,,Section Cove,,1274,North,2018-07-13,2018,High,Good,OBIA,DJI Phantom Pro 4,4,-0.2,na,hazy diffuse lighting in imagery but eelgrass delineation is confident,Hazy lighting,Yes,Medium,
sedgwick_u0260,Yes,Yes,,Sedgwick,,269,North,2017-07-26,2017,High,Good,OBIA,DJI Phantom Pro 3,4.1000000000000000,0.8,na,imagery is overcast but delineation is confident,Overcast,Yes,Medium,
sedgwick_u0482,Yes,Yes,,Sedgwick,,181,North,2018-07-12,2018,High,Medium,OBIA,DJI Phantom Pro 4,4,0.5,na,imagery has cloud reflections but would use,Cloud reflections,Yes,High,
sharp_u0425,Yes,No,,Sharp,,3139,South,2018-06-02,2018,High,Good,OBIA,DJI Phantom Pro 4,2.6,0.6,The flat light conditions due to overcast sky conditions on the day of imagery collection made delineating the very sparse upper intertidal extent difficult.,more challenging but would use,"Overcast, low density intertidal, dubious?",Yes,High,
superstition_u0710,Yes,No,Wrong file,Superstition,,766,Central,2019-08-03,2019,High,Good,Manual and OBIA,DJI Phantom Pro 4,3.2,0.7,"The majority of the image is clear, except for the bottom left. Other algae and depth makes it hard to see where the subtidal eelgrass is. Subtidal edge was defined primarily using towed underwater video data and the 2020 imagery.",NA,"Hard subtidal, validated with video",Yes,Medium,
superstition_u1040,Yes,Yes,,Superstition,,1338,Central,2022-07-30,2022,High,Good,OBIA,DJI Phantom Pro 4,2.4,0.5,"Overall image quality is high, calm sea state, low tide and low turbidity allowing the subtidal edge to be visible. Towed underwater video data were used to help classify the subtidal eelgrass bed edge.",NA,"Very good, validated",Yes,Low,
superstition_u1280,Yes,Yes,,Superstition,,953,Central,2024-07-08,2024,High,Excellent,OBIA,Mavic 3E,2.7,0.3,"Very high confidence in classification. Perfect imagery - calm seas, full sun, good water clarity.",NA,Clear,Yes,Low,
swan_bay_u0489,Yes,Yes,,Swan Bay,,719,North,2018-07-14,2018,High,Excellent,OBIA,DJI Phantom Pro 4,2.6,0,na,perfect imagery,Great,Yes,Low,
takelly_cove_u0478,Yes,Yes,,Takelly Cove,,844,North,2018-07-11,2018,High,Good,OBIA,DJI Phantom Pro 4,5.2,0.4,na,imagery is overcast but good.,NA,Yes,NA,
triquet_bay_u0537,Yes,Yes,,Triquet Bay,,600,Central,2018-08-13,2018,High,Good,Manual and OBIA,DJI Phantom Pro 4,4,0.1,"Clean image, issues come through in the deep edge, as the eelgrass fades out slowing making it difficult to discern edge. There is also a lot of other sea weeds.",NA,"Difficult edge, other species",Yes,High,
triquet_bay_u0709,Yes,Yes,,Triquet Bay,,597,Central,2019-08-01,2019,High,Excellent,Manual and OBIA,DJI Phantom Pro 4,3.2,0.9,"Very clear image, due to the the low water level and good light. Though eelgrass in triquet bay fades out slowly making it difficult to dicern an exact edge. The eelgrass on the beach is difficult to find in some part because it blends into the sand well.",NA,"Difficult edge,  blends into beach",Yes,High,
triquet_bay_u1292,Yes,Yes,,Triquet Bay,,1484,Central,2024-07-21,2024,High,Medium,OBIA,Mavic 3E,2.4,0.3,"High confidence in the intertidal mapping, lower confidence in subtidal edge due to broken cloud cover imagery image quality. Overall classification confidence is medium-high.",NA,Cloud cover over subtidal edge,Yes,Medium,
triquet_u1160,Yes,Yes,,Triquet,,967,Central,2023-08-01,2023,High,Excellent,OBIA,DJI Phantom Pro 4,2.6,0.16,"Overall image quality is high, no wave action, calm sea state. Classification confidence is high. Subtidal edge was visible and confirmed with towed underwater video.
",NA,Clear,Yes,Low,
turret_u0216,Yes,No,Wrong file?,Turret,,581,South,2017-07-11,2017,High,Good,OBIA,DJI Phantom Pro 3,4.2,0.7,na,good clear bed - part of the bed is subtidal,Clear,Yes,Low,
beck_u0409,Yes,Yes,,Beck,,335,South,2018-05-27,2018,Medium,Medium,OBIA,DJI Phantom Pro 4,5,0.6,"The imagery for Beck shows some regions obscured by shadow in the intertidal region in the eastern portion of the site. Despite the shadows, the full extent of the bed (including the subtidal edge) was visible in the imagery. The subtidal edge of the bed was distinct and easy to delineate. The towed video indicated the presence of very sparse eelgrass (with shorter blades) in the upper intertidal, which was difficult to delineate due to the presence of shadows.",shadows and diffuse/sparse eelgrass is challenging,"Shadows, sparse eelgrass",Yes,High,
koeye_u0789,Yes,Yes,,Koeye,,2227,Central,2020-07-22,2020,Medium,Medium,Manual and OBIA,DJI Phantom Pro 4,2.4,4,Turbid water during image acquisition made identifying the subtidal edges in the eastern bed difficult.,NA,Turbidity,Yes,High,
sedgwick_u0085,Yes,Yes,,Sedgwick,,294,North,2016-07-03,2016,Medium,Medium,OBIA,DJI Phantom Pro 3,4.4000000000000000,0.3,Eelgrass present in the shallow (east) end of the site was detectable in the orthomosaic (eelgrass extent delineated using OBIA). Very sparse eelgrass and eelgrass present in deeper reaches of the site were not discernable in the imagery and were manually delineated.,imagery has cloud reflections but would use,Cloud reflections,Yes,High,
superstition_u0914,Yes,Yes,,Superstition,,2043,Central,2021-07-24,2021,Medium,Medium,Manual and OBIA,DJI Phantom Pro 4,1.6,0.3,Very sparse eelgrass in the intertidal and dense algae in the subtidal make eelgrass mapping at this site particularly challenging. Good quality imagery was acquired in 2021.,NA,"Sparse eelgrass, algae",Yes,High,
superstition_u1177,Yes,Yes,,Superstition,,1223,Central,2023-08-05,2023,Medium,Medium,OBIA,DJI Phantom Pro 4,2.2000000000000000,0.6,"Overall image quality is medium/high, no wave action, calm sea state. However, imagery was impacted by low clouds and fog making it difficult to discern subtidal eelgrass edge in places. Towed underwater video data collected simultaneously to the drone survey were used to help determine subtidal edge.",NA,"Low clouds, fog",Yes,High,
